UNIPROT	gene_name	mf	method	final_score
P07355	ANXA2	other	proteoscore	-1.02361
P12429	ANXA3	other	proteoscore	-2.10878
P08133	ANXA6	other	proteoscore	1.61138
Q10567	AP1B1	other	proteoscore	0.374518
O75843	AP1G2	other	proteoscore	0.836956
P61966	AP1S1	other	proteoscore	0.539331
O94973	AP2A2	other	proteoscore	0.169207
P63010	AP2B1	other	proteoscore	-0.710182
Q96CW1	AP2M1	other	PhosphoScore	-1.79247
P53680	AP2S1	other	proteoscore	-0.389868
O00203	AP3B1	other	proteoscore	-0.370338
O14617	AP3D1	other	proteoscore	-0.431889
Q9Y2T2	AP3M1	other	proteoscore	-0.410815
Q92572	AP3S1	other	proteoscore	0.568315
O14727	APAF1	other	proteoscore	1.40506
P25054	APC	other	proteoscore	0.64621
Q96GX9	APIP	other	proteoscore	-1.63535
Q06481	APLP2	other	proteoscore	-1.69698
P04114	APOB	other	proteoscore	-0.82483
Q9UH17	APOBEC3B	other	proteoscore	-2.43501
P02649	APOE	other	proteoscore	-3.84076
Q9UKG1	APPL1	other	proteoscore	0.702757
Q7Z2E3	APTX	other	proteoscore	-1.22362
P10398	ARAF	kin	PhosphoScore	-1.7108795
Q96P48	ARAP1	other	proteoscore	-1.58549
Q8WWN8	ARAP3	other	proteoscore	0.407228
P62330	ARF6	other	proteoscore	0.619377
Q8N6T3	ARFGAP1	other	proteoscore	-0.458879
Q9Y6D6	ARFGEF1	other	proteoscore	0.481616
P53367	ARFIP1	other	proteoscore	0.499234
P53365	ARFIP2	other	proteoscore	1.24692
P78540	ARG2	other	proteoscore	-3.28561
Q07960	ARHGAP1	other	proteoscore	0.610872
A1A4S6	ARHGAP10	other	proteoscore	1.54393
Q68EM7	ARHGAP17	other	proteoscore	0.951189
Q8N392	ARHGAP18	other	proteoscore	-0.718677
P42331	ARHGAP25	other	proteoscore	0.887153
Q9UNA1	ARHGAP26	other	proteoscore	2.28346
Q7Z6I6	ARHGAP30	other	proteoscore	2.94565
Q9NRY4	ARHGAP35	other	PhosphoScore	-2.65068
P98171	ARHGAP4	other	proteoscore	-0.439046
Q13017	ARHGAP5	other	proteoscore	1.20923
O43182	ARHGAP6	other	proteoscore	1.14861
Q9BRR9	ARHGAP9	other	proteoscore	2.3762
P52565	ARHGDIA	other	proteoscore	0.542638
P52566	ARHGDIB	other	proteoscore	3.10949
Q9NZN5	ARHGEF12	other	proteoscore	-0.653377
Q92974;Q92974	ARHGEF2	other	PhosphoScore	-2.927198333333333
Q15052	ARHGEF6	other	PhosphoScore	0.973743
Q14155;Q14155	ARHGEF7	other	proteoscore	1.26361
Q8NFD5	ARID1B	tf	proteoscore	-0.3788
Q99856	ARID3A	tf	proteoscore	-2.56386
Q9Y4X5	ARIH1	other	proteoscore	0.564523
O95376	ARIH2	other	proteoscore	0.346108
Q8N2F6	ARMC10	other	proteoscore	-3.66678
P27540	ARNT	tf	proteoscore	-0.710946
O15143	ARPC1B	other	proteoscore	1.08157
O15144	ARPC2	other	proteoscore	1.28976
O15145	ARPC3	other	proteoscore	0.871696
O15511	ARPC5	other	proteoscore	1.39149
P56211	ARPP19	other	proteoscore	1.99629
P49407	ARRB1	tf	proteoscore	-1.18197
P32121	ARRB2	other	proteoscore	2.98613
P15289	ARSA	other	proteoscore	-1.48315
Q9ULH1	ASAP1	other	proteoscore	1.95171
Q9Y294	ASF1A	other	proteoscore	-0.330422
Q9NVP2	ASF1B	other	proteoscore	1.40366
Q9UBL3	ASH2L	other	proteoscore	-0.572097
P08243	ASNS	other	proteoscore	-0.688414
Q8IZT6	ASPM	other	proteoscore	-2.51242
Q9BZE9	ASPSCR1	other	proteoscore	0.567091
Q8IXJ9	ASXL1	tf	proteoscore	1.01468
Q76L83	ASXL2	other	proteoscore	-1.15834
Q96QE3	ATAD5	other	proteoscore	0.631896
O95260	ATE1	other	proteoscore	-1.17094
P15336	ATF2	tf	PhosphoScore	-2.2772750000000004
Q99941	ATF6B	tf	proteoscore	-0.980234
P17544	ATF7	tf	PhosphoScore	-1.63277
Q9BSB4	ATG101	other	proteoscore	-1.3135
O75143	ATG13	other	proteoscore	-0.779625
Q676U5;Q676U5-3;Q676U5	ATG16L1	other	proteoscore	-1.00141
Q2TAZ0	ATG2A	other	proteoscore	-1.85723
Q96BY7	ATG2B	other	proteoscore	1.62555
Q9NT62	ATG3	other	proteoscore	-0.449153
Q9H1Y0	ATG5	other	proteoscore	-0.291737
O95352	ATG7	other	proteoscore	-0.240631
Q7Z3C6	ATG9A	other	proteoscore	-0.923347
P31939	ATIC	other	proteoscore	0.486562
P05023	ATP1A1	other	proteoscore	0.379567
P13637	ATP1A3	other	proteoscore	3.69364
P05026	ATP1B1	other	proteoscore	-1.57951
Q93084	ATP2A3	other	proteoscore	0.449212
P20020	ATP2B1	other	proteoscore	0.434981
P23634	ATP2B4	other	proteoscore	-4.14912
P98194	ATP2C1	other	proteoscore	0.995105
Q15904	ATP6AP1	other	proteoscore	-0.510733
O75787	ATP6AP2	other	proteoscore	-0.676907
P38606	ATP6V1A	other	proteoscore	-0.447592
Q04656	ATP7A	other	proteoscore	-2.66811
P35670	ATP7B	other	proteoscore	-1.6508100000000001
Q13535	ATR	kin	PhosphoScore	-2.27395
O75882	ATRN	other	proteoscore	-0.458347
P46100	ATRX	other	proteoscore	1.95197
Q9UBB4	ATXN10	other	proteoscore	0.885144
Q99700	ATXN2	other	proteoscore	-0.678471
P54252;P54252	ATXN3	other	proteoscore	1.16122
O14965	AURKA	kin	VIPER	0.04772269151138905
Q96GD4	AURKB	kin	VIPER	0.07798972387358723
P61769	B2M	other	proteoscore	-0.736628
P15291	B4GALT1	other	proteoscore	-0.644003
Q9NWV8	BABAM1	other	proteoscore	0.4802
Q99933	BAG1	other	proteoscore	0.852479
O95816	BAG2	other	proteoscore	-0.82624
O95817	BAG3	other	proteoscore	-2.26373
O95429	BAG4	other	proteoscore	-1.57667
Q9UL15	BAG5	other	proteoscore	0.683569
P46379	BAG6	other	proteoscore	-0.679945
Q9UQB8	BAIAP2	other	proteoscore	-1.65609
Q9UHR4	BAIAP2L1	other	proteoscore	-1.87297
Q16611	BAK1	other	proteoscore	2.05648
Q8N9N5	BANP	other	proteoscore	0.363572
Q92560	BAP1	other	proteoscore	0.666304
Q07812	BAX	other	proteoscore	1.86973
Q9UIG0	BAZ1B	kin	PhosphoScore	-4.58124
Q9BXC9	BBS2	other	proteoscore	-1.71901
P56945	BCAR1	other	proteoscore	-1.95466
P12694	BCKDHA	other	proteoscore	0.551554
P21953	BCKDHB	other	proteoscore	0.557969
O14874	BCKDK	kin	VIPER	0.07944375985049976
O95999	BCL10	tf	PhosphoScore	-1.636895
P10415	BCL2	other	proteoscore	5.31703
Q07817	BCL2L1	other	proteoscore	-0.695387
Q9HB09	BCL2L12	other	proteoscore	0.704353
Q9NYF8	BCLAF1	tf	proteoscore	-0.725392
Q6W2J9	BCOR	tf	proteoscore	-1.17687
Q5H9F3	BCORL1	tf	proteoscore	-0.859633
P11274	BCR	kin	proteoscore	-4.95175
Q9Y276	BCS1L	other	proteoscore	-0.913164
Q14457	BECN1	other	proteoscore	0.695685
O14503	BHLHE40	tf	proteoscore	-3.33408
Q96G01	BICD1	other	proteoscore	3.44529
P55957	BID	other	proteoscore	-5.96235
Q13490	BIRC2	tf	proteoscore	-1.50377
O15392	BIRC5	other	proteoscore	-2.34007
Q9NR09	BIRC6	other	proteoscore	0.743984
P51451	BLK	kin	proteoscore	2.90863
P54132	BLM	other	proteoscore	-1.68648
P78537	BLOC1S1	other	proteoscore	-1.72067
Q6QNY1	BLOC1S2	other	proteoscore	-0.860969
Q6QNY0	BLOC1S3	other	proteoscore	-1.57739
Q9NUP1	BLOC1S4	other	proteoscore	-0.691895
P53004	BLVRA	other	proteoscore	-1.53477
Q9NSY1	BMP2K	kin	proteoscore	-1.34894
P36894	BMPR1A	kin	VIPER	-0.31373109403129273
O00238	BMPR1B	kin	VIPER	-0.5134069769110923
Q12981	BNIP1	other	proteoscore	0.445149
Q12830	BPTF	other	proteoscore	-0.386859
P15056	BRAF	kin	PhosphoScore	-1.31128
P46736	BRCC3	other	proteoscore	0.63647
P25440	BRD2	kin	proteoscore	0.233895
Q15059	BRD3	other	proteoscore	0.677533
Q9NPI1	BRD7	tf	proteoscore	1.0439
Q9H0E9	BRD8	tf	proteoscore	-0.482525
Q9H8M2	BRD9	other	proteoscore	-0.621835
Q9BX63	BRIP1	other	proteoscore	0.824508
P35613;P35613	BSG	other	proteoscore	-10.0576
O14981	BTAF1	tf	proteoscore	1.78257
P20290	BTF3	other	proteoscore	0.580219
Q06187	BTK	kin	proteoscore	0.656484
O43683	BUB1	kin	VIPER	-0.0482370342822394
O43684	BUB3	other	proteoscore	-0.177927
Q9BRD0	BUD13	other	proteoscore	-0.765836
Q9Y6E2	BZW2	other	proteoscore	-0.604437
Q13901	C1D	tf	proteoscore	-0.655663
Q9BRJ6	C7orf50	other	proteoscore	-1.90293
Q9NZ63	C9orf78	other	proteoscore	-1.08948
P27708	CAD	kin	proteoscore	0.49052
Q9P1Z2	CALCOCO1	tf	proteoscore	1.05736
O43852	CALU	other	proteoscore	-1.80307
Q13555	CAMK2G	kin	VIPER	-0.03588027385438104
Q96RR4	CAMKK2	kin	PhosphoScore	-2.42351
O75155	CAND2	other	proteoscore	-4.42528
Q01518	CAP1	other	PhosphoScore	-6.6274999999999995
P07384	CAPN1	other	proteoscore	-0.764778
P17655	CAPN2	other	proteoscore	-0.503386
Q14444	CAPRIN1	other	proteoscore	0.535782
P52907	CAPZA1	other	proteoscore	-0.285901
Q9H257	CARD9	other	proteoscore	0.442933
Q9Y2V2	CARHSP1	other	proteoscore	-2.74079
Q86X55	CARM1	tf	proteoscore	-0.381794
P29466	CASP1	other	proteoscore	0.676167
Q92851	CASP10	other	proteoscore	-2.56085
P42574	CASP3	other	proteoscore	1.88616
P55212	CASP6	other	proteoscore	-1.46911
P55210	CASP7	other	proteoscore	3.75325
Q14790;Q14790	CASP8	other	proteoscore	1.39198
P55211	CASP9	other	proteoscore	-2.76444
P20810	CAST	other	proteoscore	-5.42364
P04040	CAT	other	proteoscore	-0.528025
O75081	CBFA2T3	tf	proteoscore	1.58891
P22681	CBL	other	PhosphoScore	-3.8541
P35520	CBS	other	proteoscore	-5.954
Q14781	CBX2	other	proteoscore	-0.292072
O00257	CBX4	tf	proteoscore	-0.850757
Q9HC52	CBX8	other	proteoscore	-1.06673
Q6P1N0	CC2D1A	tf	proteoscore	-3.39664
Q5T0F9	CC2D1B	tf	proteoscore	1.12999
Q8IX12	CCAR1	tf	proteoscore	-0.268532
Q8N163	CCAR2	other	proteoscore	-0.739239
Q96CT7	CCDC124	tf	proteoscore	-1.95267
Q8IVM0	CCDC50	other	proteoscore	-2.75635
Q16204	CCDC6	other	PhosphoScore	-1.40953
Q3V6T2	CCDC88A	other	PhosphoScore	-2.0602
Q9BSQ5	CCM2	other	proteoscore	1.11633
P14635	CCNB1	other	proteoscore	-0.563637
O95067	CCNB2	other	proteoscore	-1.76358
O60563	CCNT1	other	proteoscore	-0.385219
Q8ND76	CCNY	other	proteoscore	-0.837452
P78371	CCT2	other	proteoscore	-0.426638
P49368	CCT3	other	proteoscore	-0.393163
P50991	CCT4	other	proteoscore	-0.353863
P48643	CCT5	other	proteoscore	-0.403428
P40227	CCT6A	other	proteoscore	-0.436146
Q99832	CCT7	other	proteoscore	-0.464508
P50990	CCT8	other	proteoscore	-0.614936
P48509	CD151	other	proteoscore	-2.04646
Q9Y5K6	CD2AP	other	proteoscore	-1.82278
P16070	CD44	other	PhosphoScore	6.42445
P15529	CD46	other	proteoscore	-2.65125
Q08722	CD47	other	proteoscore	-4.39633
P08174	CD55	other	proteoscore	-3.45772
P34810	CD68	other	proteoscore	-1.3599
P27701	CD82	other	proteoscore	-2.56826
Q12834	CDC20	other	proteoscore	-0.977095
Q9UJX2	CDC23	other	proteoscore	0.569683
P30307	CDC25C	phos	PhosphoScore	1.33624
P30260	CDC27	other	proteoscore	-0.910259
Q5VT25	CDC42BPA	kin	proteoscore	-3.72542
Q9H3Q1	CDC42EP4	other	proteoscore	-2.71065
Q99459	CDC5L	tf	proteoscore	0.207005
O00311	CDC7	kin	VIPER	-0.308234944061898
Q99618	CDCA3	other	proteoscore	0.775076
Q96FF9	CDCA5	other	proteoscore	-2.98985
Q9BWT1	CDCA7	other	proteoscore	3.74092
Q96GN5	CDCA7L	other	proteoscore	2.44453
Q53HL2	CDCA8	other	proteoscore	0.859416
P06493	CDK1	kin	VIPER+PhosphoScore	-2.113694150858324
Q15131	CDK10	kin	VIPER	-0.0671260392447605
Q9UQ880;Q9UQ88	CDK11A	kin	proteoscore	-3.01958
Q9NYV4	CDK12	kin	VIPER	-0.053434307261918036
Q14004	CDK13	kin	VIPER	-0.4531820908857682
Q00536	CDK16	kin	VIPER	-0.21313839887736613
Q00537	CDK17	kin	VIPER	-0.20374584179715954
Q07002	CDK18	kin	VIPER	-0.7305191520229319
Q9BWU1	CDK19	kin	VIPER	-2.482672288123266
P24941	CDK2	kin	VIPER	-0.24293700099628018
Q00526	CDK3	kin	VIPER	-2.6747487976567945
P11802	CDK4	kin	proteoscore	0.542396
Q00535	CDK5	kin	VIPER	-3.636605683095303
Q00534	CDK6	kin	VIPER	-0.053482903100805605
P50613	CDK7	kin	VIPER	-0.2712562979012209
P49336	CDK8	kin	VIPER	-1.0522545106851497
P50750	CDK9	kin	VIPER	-0.05795233041441679
Q5VV42	CDKAL1	other	proteoscore	-3.36825
P38936	CDKN1A	kin	proteoscore	0.793689
Q9NXV6	CDKN2AIP	other	proteoscore	-0.63968
O95674	CDS2	other	proteoscore	1.2407
Q9H211	CDT1	other	proteoscore	-0.36147
O95319	CELF2	other	proteoscore	1.73271
Q03188	CENPC	other	proteoscore	-3.16866
Q9H3R5	CENPH	other	proteoscore	-0.673606
Q9BS16	CENPK	other	proteoscore	-0.792364
Q9NSP4	CENPM	other	proteoscore	-1.51606
Q9BU64	CENPO	other	proteoscore	-1.16027
Q96BT3	CENPT	other	proteoscore	-2.545
Q71F23	CENPU	other	proteoscore	-1.6264
Q9UPN4	CEP131	other	proteoscore	-0.955646
Q8TEP8	CEP192	other	proteoscore	-1.92454
Q5VT06	CEP350	other	proteoscore	-1.3084
Q53EZ4	CEP55	other	PhosphoScore	-2.7681649999999998
Q8IW35	CEP97	other	proteoscore	-1.86301
Q96G23	CERS2	other	proteoscore	-0.59384
Q9HA82	CERS4	other	PhosphoScore	-0.708379
O15182	CETN3	other	proteoscore	1.01455
P08603	CFH	other	proteoscore	-1.75628
P23528	CFL1	other	proteoscore	0.672926
Q13111	CHAF1A	other	proteoscore	0.584614
Q96JM3	CHAMP1	other	proteoscore	-0.299512
Q96BP2	CHCHD1	other	proteoscore	-2.38577
Q9NX63	CHCHD3	other	proteoscore	-0.980477
O14646	CHD1	other	proteoscore	-0.547266
O14647	CHD2	other	proteoscore	-0.536645
Q14839	CHD4	tf	proteoscore	0.468792
Q9P2D1	CHD7	other	proteoscore	2.19446
Q9HCK8	CHD8	other	proteoscore	0.782449
O14757	CHEK1	kin	proteoscore	0.256269
O96017	CHEK2	kin	PhosphoScore	-0.678278
Q9Y259	CHKB	kin	proteoscore	2.44011
Q7LBR1	CHMP1B	other	proteoscore	1.17268
O43633	CHMP2A	other	proteoscore	-0.424278
Q9UQN3	CHMP2B	other	proteoscore	0.923326
Q9Y3E7	CHMP3	other	proteoscore	0.632491
Q9BY43	CHMP4A	other	proteoscore	-4.41298
P52757	CHN2	other	proteoscore	1.29516
O15111	CHUK	kin	VIPER	0.03514892642635156
Q99828	CIB1	other	proteoscore	-2.65278
O14578	CIT	kin	proteoscore	1.21675
Q8WWK9	CKAP2	other	proteoscore	-0.655273
P12277	CKB	kin	proteoscore	-5.94548
Q7Z460	CLASP1	other	proteoscore	-0.831664
O75122	CLASP2	other	proteoscore	-0.279811
P51790	CLCN3	other	proteoscore	-2.34477
O15247	CLIC2	other	proteoscore	-5.14107
P30622;P30622	CLIP1	other	proteoscore	-0.630165
Q9UDT6	CLIP2	other	proteoscore	-2.54329
P49759	CLK1	kin	VIPER	-0.049722664681879074
P49760	CLK2	kin	VIPER	-1.5823550112521108
P49761	CLK3	kin	VIPER	-3.7317417737505876
Q92989	CLP1	kin	proteoscore	-0.316695
Q9HAW4	CLSPN	other	proteoscore	-1.26398
P09496	CLTA	other	proteoscore	-0.667487
Q00610	CLTC	other	proteoscore	-0.241268
P62633	CNBP	other	proteoscore	1.07251
Q9H9A5	CNOT10	other	proteoscore	-0.284314
Q9NZN8	CNOT2	tf	proteoscore	0.254697
O95628	CNOT4	other	proteoscore	-0.228105
Q96LI5	CNOT6L	other	proteoscore	-0.400445
Q9UFF9	CNOT8	other	proteoscore	0.665694
P09543	CNP	other	proteoscore	-2.65817
Q9GZY4	COA1	other	proteoscore	-1.85216
P38432	COIL	other	proteoscore	-2.46866
Q99715	COL12A1	other	proteoscore	-3.03184
Q14031	COL4A6	other	proteoscore	-1.26897
Q8NBJ5	COLGALT1	other	proteoscore	-0.59547
Q8IYK4	COLGALT2	other	proteoscore	-2.90655
Q8N668	COMMD1	other	proteoscore	0.833892
Q9GZQ3	COMMD5	other	proteoscore	1.24469
P21964	COMT	other	proteoscore	-3.95409
O14579	COPE	other	proteoscore	-0.391696
P61201	COPS2	tf	proteoscore	0.25123
Q9UNS2	COPS3	other	proteoscore	0.376702
Q9BT78	COPS4	other	proteoscore	0.29038
Q92905	COPS5	tf	proteoscore	0.18109
Q9UBW8	COPS7A	other	proteoscore	1.78158
Q9H9Q2	COPS7B	other	proteoscore	-0.769628
Q99627	COPS8	other	proteoscore	0.255031
P31146	CORO1A	other	proteoscore	2.79589
Q9ULV4	CORO1C	other	proteoscore	-0.784607
P13073	COX4I1	other	proteoscore	-6.87527
P20674	COX5A	other	proteoscore	-0.353932
P10606	COX5B	other	proteoscore	4.24831
P14854	COX6B1	other	proteoscore	-1.76029
P14406	COX7A2	other	proteoscore	-5.33207
P24311	COX7B	other	proteoscore	-2.38415
P15954	COX7C	other	proteoscore	-0.528841
Q9P2I0	CPSF2	other	proteoscore	0.58473
Q9UKF6	CPSF3	other	proteoscore	0.16915
O95639	CPSF4	other	proteoscore	-0.488785
Q16630	CPSF6	other	proteoscore	-0.177983
Q8N684	CPSF7	other	proteoscore	-0.329888
P50416	CPT1A	other	proteoscore	1.68201
P78560	CRADD	other	proteoscore	-2.03699
P16220;P16220	CREB1	tf	proteoscore	0.593056
P46108	CRK	other	PhosphoScore	-3.04616
P46109	CRKL	other	proteoscore	-2.83843
Q6UUV9;Q6UUV9	CRTC1	other	proteoscore	1.07483
Q53ET0	CRTC2	other	proteoscore	1.1356
O75390	CS	other	proteoscore	-0.728708
P55060	CSE1L	other	proteoscore	-0.409174
P41240	CSK	kin	proteoscore	0.94137
P48729	CSNK1A1	kin	proteoscore	0.237537
P48730	CSNK1D	kin	VIPER	1.9035060258577048
P49674	CSNK1E	kin	PhosphoScore	2.628765
Q9HCP0	CSNK1G1	kin	proteoscore	0.887544
P68400	CSNK2A1	kin	VIPER	-0.20157165526607856
P19784	CSNK2A2	kin	VIPER	-0.09612560333217048
P67870	CSNK2B	kin	proteoscore	-1.12304
P21291	CSRP1	other	proteoscore	0.827505
P33240	CSTF2	other	proteoscore	0.655948
Q12996	CSTF3	other	proteoscore	-0.342157
P56545	CTBP2	tf	proteoscore	3.56896
O95476	CTDNEP1	other	proteoscore	0.956322
Q9Y5B0	CTDP1	other	proteoscore	1.53598
Q05D32	CTDSPL2	other	proteoscore	-0.589757
P32929	CTH	other	proteoscore	-5.60972
Q8WYA6	CTNNBL1	other	proteoscore	0.636618
O60716	CTNND1	other	PhosphoScore	-3.325755
P17812	CTPS1	other	PhosphoScore	1.07356
Q9NRF8	CTPS2	other	PhosphoScore	0.929079
P07858	CTSB	other	proteoscore	-0.367372
P07339	CTSD	other	proteoscore	-0.477575
P09668	CTSH	other	proteoscore	-3.68858
P07711	CTSL	other	proteoscore	-4.67185
P25774	CTSS	other	proteoscore	-4.38271
Q14247	CTTN	other	proteoscore	-5.38627
Q13617	CUL2	other	proteoscore	0.21326
Q13618	CUL3	other	proteoscore	0.170856
Q13619	CUL4A	other	proteoscore	-0.572361
Q13620	CUL4B	other	proteoscore	-0.317445
Q93034	CUL5	other	proteoscore	-2.14229
Q14999	CUL7	other	proteoscore	-1.09468
P13498	CYBA	other	PhosphoScore	-5.56611
P08574	CYC1	other	proteoscore	-0.880768
P99999	CYCS	other	proteoscore	-0.919154
Q7L576	CYFIP1	other	proteoscore	-0.770843
Q9NQC7	CYLD	other	PhosphoScore	-1.80204
P98082	DAB2	other	proteoscore	-2.28028
Q5VWQ8	DAB2IP	other	proteoscore	3.22285
P61803	DAD1	other	proteoscore	-0.299334
Q14118	DAG1	other	proteoscore	3.63635
Q8NCG7	DAGLB	other	proteoscore	-1.48831
P51397	DAP	other	PhosphoScore	1.89681
P51398	DAP3	other	proteoscore	-0.742711
O43293	DAPK3	kin	proteoscore	-1.47324
Q9UN19	DAPP1	other	proteoscore	4.5425
Q6PI48	DARS2	other	proteoscore	-2.14711
Q9UER7	DAXX	tf	PhosphoScore	-2.54564
P07108	DBI	other	proteoscore	-3.31055
Q16643	DBN1	other	proteoscore	-5.18804
Q9UJU6	DBNL	other	proteoscore	0.406582
Q66K64	DCAF15	other	proteoscore	-1.28741
P61962	DCAF7	other	proteoscore	-0.902562
P27707	DCK	kin	PhosphoScore	-3.10448
Q13561	DCTN2	other	proteoscore	-0.180439
Q9H773	DCTPP1	other	proteoscore	-3.04387
Q96GG9	DCUN1D1	other	proteoscore	0.258783
O95865	DDAH2	other	proteoscore	-4.32387
Q16531	DDB1	other	proteoscore	0.653157
O94830	DDHD2	other	proteoscore	0.919528
P39656;A0A024RAD5	DDOST	other	proteoscore	-0.367398
Q92499	DDX1	tf	proteoscore	-0.167312
Q92841	DDX17	tf	proteoscore	-1.12465
Q9NR30	DDX21	other	proteoscore	-0.391401
Q9BUQ8	DDX23	other	proteoscore	-0.928849
Q9GZR7	DDX24	other	proteoscore	-0.356095
O00571	DDX3X	other	proteoscore	0.607049
P17844	DDX5	other	proteoscore	0.311144
P26196	DDX6	other	proteoscore	0.220675
Q9H4E7	DEF6	other	PhosphoScore	-1.0263865
O43583	DENR	other	proteoscore	-0.991005
Q9Y315	DERA	other	proteoscore	1.37586
P17661	DES	other	proteoscore	-1.07832
O00273	DFFA	other	proteoscore	-4.55898
O76075	DFFB	other	proteoscore	-1.8244
O75907	DGAT1	other	proteoscore	-2.24611
P23743	DGKA	kin	proteoscore	-3.34928
