UNIPROT.K562	gene_name	mf	method.K562	final_score.K562	UNIPROT.LAMA84	method.LAMA84	final_score.LAMA84	conc
O43182	ARHGAP6	other	proteoscore	-0.450332	NA	NA	NA	NA
Q8NFD5	ARID1B	tf	proteoscore	0.440963	NA	NA	NA	NA
Q8N2F6	ARMC10	other	proteoscore	0.334382	NA	NA	NA	NA
P27540	ARNT	tf	proteoscore	0.350545	NA	NA	NA	NA
O00192	ARVCF	other	proteoscore	2.13654	NA	NA	NA	NA
Q9ULH1	ASAP1	other	proteoscore	0.752392	NA	NA	NA	NA
Q9Y294	ASF1A	other	proteoscore	0.296095	NA	NA	NA	NA
Q8IZT6	ASPM	other	proteoscore	-1.06543	NA	NA	NA	NA
Q9BZE9	ASPSCR1	other	proteoscore	0.374741	NA	NA	NA	NA
P15336	ATF2	tf	PhosphoScore	0.998442	NA	NA	NA	NA
P17544	ATF7	tf	PhosphoScore	1.73802	NA	NA	NA	NA
P05026	ATP1B1	other	proteoscore	-1.09591	NA	NA	NA	NA
P38606	ATP6V1A	other	proteoscore	0.244448	NA	NA	NA	NA
P35670	ATP7B	other	proteoscore	1.46975	NA	NA	NA	NA
P30530	AXL	kin	proteoscore	-1.60693	NA	NA	NA	NA
P61769	B2M	other	proteoscore	0.59664	NA	NA	NA	NA
P15291	B4GALT1	other	proteoscore	-0.721887	NA	NA	NA	NA
Q9NWV8	BABAM1	other	proteoscore	0.325101	NA	NA	NA	NA
O95817	BAG3	other	proteoscore	-0.839743	NA	NA	NA	NA
Q9UHR4	BAIAP2L1	other	proteoscore	-0.33962	NA	NA	NA	NA
O43521;O43521-1;O43521	BCL2L11	other	proteoscore	1.1268	NA	NA	NA	NA
Q9BQE9	BCL7B	other	proteoscore	-1.4596	NA	NA	NA	NA
Q6W2J9	BCOR	tf	proteoscore	-0.580656	NA	NA	NA	NA
P11274	BCR	kin	proteoscore	0.342215	NA	NA	NA	NA
O14503	BHLHE40	tf	proteoscore	-2.38162	NA	NA	NA	NA
Q9NR09	BIRC6	other	proteoscore	-0.466571	NA	NA	NA	NA
Q15059	BRD3	other	proteoscore	0.601155	NA	NA	NA	NA
Q9HAW0	BRF2	other	proteoscore	-1.25856	NA	NA	NA	NA
Q06187	BTK	kin	proteoscore	-0.417899	NA	NA	NA	NA
Q9Y6E2	BZW2	other	proteoscore	-0.250203	NA	NA	NA	NA
Q9NZ63	C9orf78	other	proteoscore	-0.991369	NA	NA	NA	NA
Q9P1Z2	CALCOCO1	tf	proteoscore	1.03937	NA	NA	NA	NA
Q8N5S9	CAMKK1	kin	VIPER	0.709149742	NA	NA	NA	NA
P17655	CAPN2	other	proteoscore	0.241155	NA	NA	NA	NA
Q9H257	CARD9	other	proteoscore	-0.577333	NA	NA	NA	NA
Q9HA77	CARS2	other	proteoscore	0.576471	NA	NA	NA	NA
P42575	CASP2	other	proteoscore	-0.851117	NA	NA	NA	NA
Q96S94	CCNL2	other	proteoscore	-1.10534	NA	NA	NA	NA
Q8ND76	CCNY	other	proteoscore	0.429935	NA	NA	NA	NA
Q5VT25	CDC42BPA	kin	proteoscore	-0.343517	NA	NA	NA	NA
O00311	CDC7	kin	proteoscore	-1.06043	NA	NA	NA	NA
Q6P1J9	CDC73	other	proteoscore	-0.400075	NA	NA	NA	NA
Q15131	CDK10	kin	VIPER	-2.0314067	NA	NA	NA	NA
Q9UQ880;Q9UQ88	CDK11A	kin	proteoscore	0.28388	NA	NA	NA	NA
Q9NYV4	CDK12	kin	PhosphoScore	0.545663	NA	NA	NA	NA
O94921	CDK14	kin	VIPER	-0.583489637	NA	NA	NA	NA
P49918	CDKN1C	other	proteoscore	1.43059	NA	NA	NA	NA
Q9H211	CDT1	other	proteoscore	-0.72799	NA	NA	NA	NA
O95319	CELF2	other	proteoscore	-0.355546	NA	NA	NA	NA
Q02224	CENPE	other	proteoscore	-0.866734	NA	NA	NA	NA
Q9H3R5	CENPH	other	proteoscore	-0.768348	NA	NA	NA	NA
Q9BS16	CENPK	other	proteoscore	-0.748667	NA	NA	NA	NA
Q9NSP4	CENPM	other	proteoscore	-1.02827	NA	NA	NA	NA
Q96BT3	CENPT	other	proteoscore	-0.511044	NA	NA	NA	NA
Q9UPN4	CEP131	other	proteoscore	-0.364153	NA	NA	NA	NA
Q66GS9	CEP135	other	proteoscore	0.393037	NA	NA	NA	NA
Q53EZ4	CEP55	other	PhosphoScore	-1.84666	NA	NA	NA	NA
Q8IW35	CEP97	other	proteoscore	-0.782638	NA	NA	NA	NA
Q9HA82	CERS4	other	PhosphoScore	2.15277	NA	NA	NA	NA
O15182	CETN3	other	proteoscore	-0.695717	NA	NA	NA	NA
P08603	CFH	other	proteoscore	-1.14473	NA	NA	NA	NA
O14646	CHD1	other	proteoscore	-0.397339	NA	NA	NA	NA
Q9HCK8	CHD8	other	proteoscore	-0.706653	NA	NA	NA	NA
O96017	CHEK2	kin	PhosphoScore	2.97482	NA	NA	NA	NA
Q7LBR1	CHMP1B	other	proteoscore	0.737906	NA	NA	NA	NA
O15111	CHUK	kin	VIPER	-0.015877792	NA	NA	NA	NA
Q86X95	CIR1	tf	proteoscore	1.69961	NA	NA	NA	NA
O14578	CIT	kin	proteoscore	-0.439292	NA	NA	NA	NA
P51790	CLCN3	other	proteoscore	0.335159	NA	NA	NA	NA
O15247	CLIC2	other	proteoscore	0.377838	NA	NA	NA	NA
P30622;P30622	CLIP1	other	proteoscore	-0.320705	NA	NA	NA	NA
Q9HAW4	CLSPN	other	proteoscore	-1.0045	NA	NA	NA	NA
P62633	CNBP	other	proteoscore	-0.990076	NA	NA	NA	NA
P51911	CNN1	other	proteoscore	-0.856674	NA	NA	NA	NA
Q9NZN8	CNOT2	tf	proteoscore	-0.235871	NA	NA	NA	NA
O95628	CNOT4	other	proteoscore	-0.672951	NA	NA	NA	NA
Q96LI5	CNOT6L	other	proteoscore	-0.604184	NA	NA	NA	NA
Q9UFF9	CNOT8	other	proteoscore	-0.863235	NA	NA	NA	NA
P09543	CNP	other	proteoscore	0.283604	NA	NA	NA	NA
Q99715	COL12A1	other	proteoscore	-0.63019	NA	NA	NA	NA
P39060	COL18A1	other	proteoscore	3.08495	NA	NA	NA	NA
P12111	COL6A3	other	proteoscore	0.560207	NA	NA	NA	NA
Q8IYK4	COLGALT2	other	proteoscore	-0.38938	NA	NA	NA	NA
O14579	COPE	other	proteoscore	-0.271851	NA	NA	NA	NA
Q9BR76	CORO1B	other	proteoscore	0.20405	NA	NA	NA	NA
Q9ULV4	CORO1C	other	proteoscore	0.221123	NA	NA	NA	NA
P10606	COX5B	other	proteoscore	0.764354	NA	NA	NA	NA
P14406	COX7A2	other	proteoscore	0.61691	NA	NA	NA	NA
P24311	COX7B	other	proteoscore	0.538498	NA	NA	NA	NA
P15954	COX7C	other	proteoscore	1.1918	NA	NA	NA	NA
Q9UKF6	CPSF3	other	proteoscore	-0.302126	NA	NA	NA	NA
P50416	CPT1A	other	proteoscore	0.779563	NA	NA	NA	NA
Q96SW2	CRBN	other	proteoscore	0.414292	NA	NA	NA	NA
P46108	CRK	other	PhosphoScore	-2.97116	NA	NA	NA	NA
Q05D32	CTDSPL2	other	proteoscore	-0.444825	NA	NA	NA	NA
P32929	CTH	other	proteoscore	0.379576	NA	NA	NA	NA
Q9NRF8	CTPS2	other	PhosphoScore	-1.35596	NA	NA	NA	NA
Q13616	CUL1	other	proteoscore	-0.1968	NA	NA	NA	NA
Q13620	CUL4B	other	proteoscore	0.314194	NA	NA	NA	NA
Q93034	CUL5	other	proteoscore	0.402292	NA	NA	NA	NA
Q14999	CUL7	other	proteoscore	1.07826	NA	NA	NA	NA
P08574	CYC1	other	proteoscore	0.42397	NA	NA	NA	NA
P99999	CYCS	other	proteoscore	0.641896	NA	NA	NA	NA
P98082	DAB2	other	proteoscore	-1.28075	NA	NA	NA	NA
Q14118	DAG1	other	proteoscore	1.47238	NA	NA	NA	NA
O43293	DAPK3	kin	VIPER	-0.640577169	NA	NA	NA	NA
Q14203	DCTN1	other	proteoscore	0.27409	NA	NA	NA	NA
O95865	DDAH2	other	proteoscore	0.347807	NA	NA	NA	NA
Q9UHI6	DDX20	other	proteoscore	-0.463636	NA	NA	NA	NA
Q9H4E7	DEF6	other	proteoscore	-0.346172	NA	NA	NA	NA
Q9H6R0	DHX33	other	proteoscore	-0.765139	NA	NA	NA	NA
Q14689	DIP2A	other	proteoscore	-1.02849	NA	NA	NA	NA
P09622	DLD	other	proteoscore	0.579176	NA	NA	NA	NA
P80370	DLK1	other	proteoscore	-0.87215	NA	NA	NA	NA
P36957	DLST	other	proteoscore	0.522216	NA	NA	NA	NA
Q96DA6	DNAJC19	other	proteoscore	0.523219	NA	NA	NA	NA
Q13217	DNAJC3	other	proteoscore	-0.377021	NA	NA	NA	NA
O75061	DNAJC6	phos	proteoscore	0.608313	NA	NA	NA	NA
Q05193	DNM1	other	proteoscore	0.52513	NA	NA	NA	NA
Q92608	DOCK2	other	proteoscore	-0.336062	NA	NA	NA	NA
Q9C005	DPY30	other	proteoscore	2.11515	NA	NA	NA	NA
O60469	DSCAM	other	proteoscore	0.720578	NA	NA	NA	NA
Q9H410	DSN1	other	proteoscore	0.274558	NA	NA	NA	NA
Q99956	DUSP9	phos	proteoscore	0.408556	NA	NA	NA	NA
Q14204	DYNC1H1	other	proteoscore	0.196482	NA	NA	NA	NA
Q96FJ2	DYNLL2	other	proteoscore	0.492963	NA	NA	NA	NA
P63172	DYNLT1	other	proteoscore	-0.308455	NA	NA	NA	NA
O75923	DYSF	other	proteoscore	0.786323	NA	NA	NA	NA
Q96JC9	EAF1	tf	proteoscore	-0.828949	NA	NA	NA	NA
Q9H8V3	ECT2	other	proteoscore	-2.08874	NA	NA	NA	NA
Q05639	EEF1A2	other	proteoscore	-0.235953	NA	NA	NA	NA
Q96KQ7	EHMT2	other	proteoscore	-0.359705	NA	NA	NA	NA
P41567	EIF1	other	proteoscore	-1.57708	NA	NA	NA	NA
Q14232	EIF2B1	other	proteoscore	-0.352554	NA	NA	NA	NA
Q9NR50	EIF2B3	other	proteoscore	-0.302859	NA	NA	NA	NA
P20042	EIF2S2	other	proteoscore	-0.323282	NA	NA	NA	NA
Q14240	EIF4A2	other	proteoscore	-0.22457	NA	NA	NA	NA
Q9NRA8	EIF4ENIF1	other	proteoscore	-0.831818	NA	NA	NA	NA
O43432	EIF4G3	other	proteoscore	-0.306498	NA	NA	NA	NA
Q6IA86	ELP2	other	proteoscore	-0.52388	NA	NA	NA	NA
P54760	EPHB4	kin	proteoscore	0.507711	NA	NA	NA	NA
P50548	ERF	tf	proteoscore	0.898412	NA	NA	NA	NA
P62495	ETF1	other	proteoscore	-0.285957	NA	NA	NA	NA
Q9UQ84	EXO1	other	proteoscore	-1.10766	NA	NA	NA	NA
Q96KP1	EXOC2	other	proteoscore	0.294159	NA	NA	NA	NA
O60645	EXOC3	other	proteoscore	0.221636	NA	NA	NA	NA
Q96A65	EXOC4	other	proteoscore	0.28959	NA	NA	NA	NA
Q06265	EXOSC9	other	proteoscore	-0.384163	NA	NA	NA	NA
Q99504	EYA3	phos	proteoscore	-0.459876	NA	NA	NA	NA
Q96RI0	F2RL3	other	proteoscore	-1.17536	NA	NA	NA	NA
Q9Y5Q0	FADS3	other	proteoscore	0.955448	NA	NA	NA	NA
Q9H469	FBXL15	other	proteoscore	0.513885	NA	NA	NA	NA
Q9NRD1	FBXO6	other	proteoscore	0.305614	NA	NA	NA	NA
Q9UKB1	FBXW11	other	proteoscore	-1.36561	NA	NA	NA	NA
P21802	FGFR2	kin	proteoscore	-2.0463	NA	NA	NA	NA
P09769	FGR	kin	VIPER	-2.642108203	NA	NA	NA	NA
P07954	FH	other	proteoscore	0.305407	NA	NA	NA	NA
Q13451	FKBP5	other	proteoscore	0.268701	NA	NA	NA	NA
Q06787	FMR1	other	proteoscore	0.550407	NA	NA	NA	NA
P02751	FN1	other	proteoscore	0.879675	NA	NA	NA	NA
Q8TF40	FNIP1	other	proteoscore	-0.829217	NA	NA	NA	NA
P49356	FNTB	other	proteoscore	-2.46187	NA	NA	NA	NA
Q8IVP5	FUNDC1	other	proteoscore	-1.1242	NA	NA	NA	NA
P09958	FURIN	other	proteoscore	1.56453	NA	NA	NA	NA
Q9UM11	FZR1	other	PhosphoScore	0.758012	NA	NA	NA	NA
P11413;P11413	G6PD	other	proteoscore	0.289815	NA	NA	NA	NA
Q13480	GAB1	other	proteoscore	1.52165	NA	NA	NA	NA
O14976	GAK	kin	VIPER	-0.64140317	NA	NA	NA	NA
P07902	GALT	other	proteoscore	0.70791	NA	NA	NA	NA
P04406	GAPDH	other	proteoscore	-0.289116	NA	NA	NA	NA
P15976	GATA1	tf	proteoscore	0.332425	NA	NA	NA	NA
P30047	GCHFR	other	proteoscore	0.842948	NA	NA	NA	NA
Q8TB36	GDAP1	other	proteoscore	-0.563823	NA	NA	NA	NA
P57678	GEMIN4	other	proteoscore	-0.529281	NA	NA	NA	NA
Q8TEQ6	GEMIN5	other	proteoscore	-0.72993	NA	NA	NA	NA
Q8WXD5	GEMIN6	other	proteoscore	-0.662038	NA	NA	NA	NA
Q5VTD9	GFI1B	tf	proteoscore	1.34611	NA	NA	NA	NA
Q9H4G4	GLIPR2	other	proteoscore	1.54354	NA	NA	NA	NA
P49448	GLUD2	other	proteoscore	1.61955	NA	NA	NA	NA
P08754	GNAI3	other	proteoscore	-0.373729	NA	NA	NA	NA
Q9HD26	GOPC	other	proteoscore	-0.409271	NA	NA	NA	NA
P17174	GOT1	other	proteoscore	0.287116	NA	NA	NA	NA
P28799	GRN	other	proteoscore	0.843495	NA	NA	NA	NA
P49841	GSK3B	kin	VIPER+PhosphoScore	-0.54052794	NA	NA	NA	NA
P15170	GSPT1	other	proteoscore	-0.367945	NA	NA	NA	NA
P28161	GSTM2	other	proteoscore	0.677456	NA	NA	NA	NA
P35269	GTF2F1	other	PhosphoScore	0.702869	NA	NA	NA	NA
Q12789	GTF3C1	other	proteoscore	-0.20593	NA	NA	NA	NA
Q9NYZ3	GTSE1	other	proteoscore	-1.34367	NA	NA	NA	NA
Q9NVX0	HAUS2	other	proteoscore	-0.45522	NA	NA	NA	NA
Q9BT25	HAUS8	other	proteoscore	-0.515179	NA	NA	NA	NA
P02042	HBD	other	proteoscore	1.22431	NA	NA	NA	NA
P69891	HBG1	other	proteoscore	3.40529	NA	NA	NA	NA
P69892	HBG2	other	proteoscore	2.89195	NA	NA	NA	NA
P08631	HCK	kin	VIPER	-6.905758754	NA	NA	NA	NA
Q8WUI4	HDAC7	tf	proteoscore	-0.923357	NA	NA	NA	NA
O00291	HIP1	other	proteoscore	0.410707	NA	NA	NA	NA
Q6NT76	HMBOX1	other	proteoscore	-0.520128	NA	NA	NA	NA
P17482	HOXB9	tf	proteoscore	-0.64448	NA	NA	NA	NA
P15428	HPGD	other	proteoscore	-0.9498	NA	NA	NA	NA
P17066	HSPA6	other	proteoscore	1.0078	NA	NA	NA	NA
P38646	HSPA9	other	proteoscore	0.186548	NA	NA	NA	NA
P04792	HSPB1	other	PhosphoScore	2.34182	NA	NA	NA	NA
P98160	HSPG2	other	proteoscore	1.27061	NA	NA	NA	NA
O43464	HTRA2	other	proteoscore	0.507181	NA	NA	NA	NA
Q9P2D0	IBTK	other	proteoscore	-1.34968	NA	NA	NA	NA
O75874	IDH1	other	proteoscore	0.472356	NA	NA	NA	NA
Q9Y6K9	IKBKG	other	proteoscore	-0.3413	NA	NA	NA	NA
Q9H2S9	IKZF4	tf	proteoscore	-2.44162	NA	NA	NA	NA
Q14116	IL18	other	proteoscore	0.908426	NA	NA	NA	NA
Q13418	ILK	kin	VIPER	0.004539995	NA	NA	NA	NA
Q16891	IMMT	other	proteoscore	0.365564	NA	NA	NA	NA
Q9NV31	IMP3	other	proteoscore	-0.505107	NA	NA	NA	NA
Q96G21	IMP4	other	proteoscore	-0.564044	NA	NA	NA	NA
P20839	IMPDH1	other	proteoscore	-0.498065	NA	NA	NA	NA
Q9H160	ING2	other	proteoscore	-0.643571	NA	NA	NA	NA
Q9Y616	IRAK3	kin	VIPER	0.561782062	NA	NA	NA	NA
Q9NWZ3	IRAK4	kin	VIPER	0.915401276	NA	NA	NA	NA
Q9NPH2	ISYNA1	other	proteoscore	0.317683	NA	NA	NA	NA
Q96J02;Q96J02	ITCH	other	proteoscore	-0.890569	NA	NA	NA	NA
P18564	ITGB6	other	proteoscore	-1.62436	NA	NA	NA	NA
O60674	JAK2	kin	proteoscore	0.511352	NA	NA	NA	NA
Q6NYC1	JMJD6	other	proteoscore	-0.574218	NA	NA	NA	NA
O60229	KALRN	kin	proteoscore	1.47556	NA	NA	NA	NA
Q92993	KAT5	tf	proteoscore	-0.51126	NA	NA	NA	NA
O15554	KCNN4	other	proteoscore	0.770029	NA	NA	NA	NA
Q9H3F6	KCTD10	other	proteoscore	-2.25052	NA	NA	NA	NA
P41229	KDM5C	other	proteoscore	-0.36825	NA	NA	NA	NA
Q14145	KEAP1	other	proteoscore	-0.739127	NA	NA	NA	NA
P50053	KHK	kin	proteoscore	0.491759	NA	NA	NA	NA
Q15058	KIF14	other	proteoscore	-0.678186	NA	NA	NA	NA
Q02241;Q02241	KIF23	other	proteoscore	-0.511745	NA	NA	NA	NA
Q12840	KIF5A	other	proteoscore	1.42485	NA	NA	NA	NA
Q9H0B6	KLC2	other	proteoscore	-0.747151	NA	NA	NA	NA
Q13351	KLF1	tf	proteoscore	0.843143	NA	NA	NA	NA
P57682	KLF3	tf	proteoscore	0.99406	NA	NA	NA	NA
Q53GT1	KLHL22	other	proteoscore	1.42634	NA	NA	NA	NA
Q8IXQ5	KLHL7	other	proteoscore	0.951119	NA	NA	NA	NA
Q8NEZ4	KMT2C	tf	proteoscore	0.655241	NA	NA	NA	NA
P52294	KPNA1	other	proteoscore	-0.384461	NA	NA	NA	NA
O00505	KPNA3	other	proteoscore	-0.280857	NA	NA	NA	NA
Q14974	KPNB1	other	proteoscore	-0.215105	NA	NA	NA	NA
P04264	KRT1	other	proteoscore	-0.765225	NA	NA	NA	NA
P05783	KRT18	other	proteoscore	-0.308041	NA	NA	NA	NA
Q92615	LARP4B	other	proteoscore	-0.35736	NA	NA	NA	NA
Q9Y4W2	LAS1L	other	proteoscore	-0.365275	NA	NA	NA	NA
Q14739	LBR	other	proteoscore	0.329385	NA	NA	NA	NA
P06239	LCK	kin	VIPER	-1.146847935	NA	NA	NA	NA
Q08380	LGALS3BP	other	proteoscore	1.84983	NA	NA	NA	NA
P49917	LIG4	other	proteoscore	0.463686	NA	NA	NA	NA
Q6ZN17	LIN28B	other	proteoscore	-0.272198	NA	NA	NA	NA
Q12907	LMAN2	other	proteoscore	0.403194	NA	NA	NA	NA
P02545	LMNA	other	PhosphoScore	0.710337	NA	NA	NA	NA
Q14693	LPIN1	tf	proteoscore	-1.72611	NA	NA	NA	NA
Q6UWE0	LRSAM1	other	proteoscore	0.601567	NA	NA	NA	NA
Q9Y4Z0	LSM4	other	proteoscore	0.407468	NA	NA	NA	NA
P62312	LSM6	other	proteoscore	0.447066	NA	NA	NA	NA
P07948	LYN	kin	VIPER	-5.097126014	NA	NA	NA	NA
O95372	LYPLA2	other	proteoscore	0.420088	NA	NA	NA	NA
P61626	LYZ	other	proteoscore	-2.02693	NA	NA	NA	NA
Q9UPN3	MACF1	other	proteoscore	-0.586354	NA	NA	NA	NA
Q9UI95	MAD2L2	other	proteoscore	-1.69339	NA	NA	NA	NA
P43357	MAGEA3	other	proteoscore	-2.06151	NA	NA	NA	NA
P43360	MAGEA6	other	proteoscore	-2.68339	NA	NA	NA	NA
P78559	MAP1A	other	proteoscore	-0.274251	NA	NA	NA	NA
Q02750	MAP2K1	kin	VIPER	-1.242038932	NA	NA	NA	NA
P53779	MAPK10	kin	VIPER	-0.889713977	NA	NA	NA	NA
Q16539	MAPK14	kin	VIPER+PhosphoScore	0.108773377	NA	NA	NA	NA
P45984;P45984	MAPK9	kin	VIPER	-1.291450222	NA	NA	NA	NA
Q15691	MAPRE1	other	proteoscore	-0.260119	NA	NA	NA	NA
Q9P0L2	MARK1	kin	VIPER	1.402157724	NA	NA	NA	NA
Q7KZI7	MARK2	kin	VIPER	1.523003075	NA	NA	NA	NA
Q96L34	MARK4	kin	VIPER	0.886778475	NA	NA	NA	NA
Q7L590	MCM10	other	proteoscore	-1.46258	NA	NA	NA	NA
Q8NEM0	MCPH1	other	proteoscore	-1.28246	NA	NA	NA	NA
Q96EZ8	MCRS1	other	proteoscore	-0.535394	NA	NA	NA	NA
P40925	MDH1	other	proteoscore	0.414204	NA	NA	NA	NA
P21741	MDK	other	proteoscore	0.968056	NA	NA	NA	NA
P23368	ME2	other	proteoscore	0.323894	NA	NA	NA	NA
Q71F56	MED13L	tf	proteoscore	0.645344	NA	NA	NA	NA
Q96RN5	MED15	tf	proteoscore	-0.649586	NA	NA	NA	NA
Q9Y2X0	MED16	tf	proteoscore	0.256113	NA	NA	NA	NA
Q9BUE0	MED18	tf	proteoscore	0.843229	NA	NA	NA	NA
O75448	MED24	tf	proteoscore	0.3988	NA	NA	NA	NA
Q6P2C8	MED27	tf	proteoscore	-0.350423	NA	NA	NA	NA
Q06413;Q06413	MEF2C	tf	proteoscore	-1.90072	NA	NA	NA	NA
Q9BPX6	MICU1	other	proteoscore	0.420179	NA	NA	NA	NA
Q9H000	MKRN2	other	proteoscore	-0.465626	NA	NA	NA	NA
P55197	MLLT10	other	proteoscore	-0.680912	NA	NA	NA	NA
Q13015	MLLT11	other	proteoscore	-1.78205	NA	NA	NA	NA
P08473	MME	other	proteoscore	1.56804	NA	NA	NA	NA
P08254	MMP3	other	proteoscore	0.524394	NA	NA	NA	NA
P51948	MNAT1	other	proteoscore	-0.412365	NA	NA	NA	NA
Q9H8S9	MOB1A	other	PhosphoScore	3.21911	NA	NA	NA	NA
Q9UQ07	MOK	kin	VIPER	-1.225155082	NA	NA	NA	NA
O00566	MPHOSPH10	other	proteoscore	-0.429902	NA	NA	NA	NA
Q9P015	MRPL15	other	proteoscore	0.36537	NA	NA	NA	NA
Q9NX20	MRPL16	other	proteoscore	0.504147	NA	NA	NA	NA
Q9NRX2	MRPL17	other	proteoscore	0.414536	NA	NA	NA	NA
P49406	MRPL19	other	proteoscore	0.333377	NA	NA	NA	NA
Q9NWU5	MRPL22	other	proteoscore	0.272615	NA	NA	NA	NA
Q8TCC3	MRPL30	other	proteoscore	0.441513	NA	NA	NA	NA
Q9NYK5	MRPL39	other	proteoscore	0.235428	NA	NA	NA	NA
Q8N983	MRPL43	other	proteoscore	0.480603	NA	NA	NA	NA
Q8N5N7	MRPL50	other	proteoscore	0.607769	NA	NA	NA	NA
Q9BYD2	MRPL9	other	proteoscore	0.397473	NA	NA	NA	NA
P82921	MRPS21	other	proteoscore	0.584699	NA	NA	NA	NA
Q9NP92	MRPS30	other	proteoscore	0.364428	NA	NA	NA	NA
Q92665	MRPS31	other	proteoscore	0.361883	NA	NA	NA	NA
P43246	MSH2	other	proteoscore	-0.270744	NA	NA	NA	NA
P52701	MSH6	other	proteoscore	-0.373958	NA	NA	NA	NA
Q8N5Y2	MSL3	other	proteoscore	-1.03998	NA	NA	NA	NA
P11586	MTHFD1	other	proteoscore	-0.223717	NA	NA	NA	NA
Q99707	MTR	other	proteoscore	-0.509759	NA	NA	NA	NA
Q13505	MTX1	other	proteoscore	0.34847	NA	NA	NA	NA
P15941	MUC1	tf	proteoscore	-1.11756	NA	NA	NA	NA
Q9UIF7	MUTYH	other	proteoscore	-1.17778	NA	NA	NA	NA
Q9BQG0	MYBBP1A	tf	proteoscore	-0.316045	NA	NA	NA	NA
P35580	MYH10	other	PhosphoScore	-2.52483	NA	NA	NA	NA
P19105	MYL12A	other	PhosphoScore	0.972234	NA	NA	NA	NA
P12829	MYL4	other	proteoscore	0.526627	NA	NA	NA	NA
O00159	MYO1C	other	proteoscore	0.391225	NA	NA	NA	NA
Q9UM54	MYO6	other	proteoscore	0.417403	NA	NA	NA	NA
P61599	NAA20	other	proteoscore	-0.391431	NA	NA	NA	NA
Q14CX7	NAA25	other	proteoscore	-0.349303	NA	NA	NA	NA
O95544	NADK	kin	PhosphoScore	1.41651	NA	NA	NA	NA
Q9H0A0	NAT10	other	proteoscore	-0.463156	NA	NA	NA	NA
Q6IBW4	NCAPH2	other	proteoscore	-0.598246	NA	NA	NA	NA
Q09161	NCBP1	other	proteoscore	-0.303081	NA	NA	NA	NA
P52298	NCBP2	other	proteoscore	-0.342114	NA	NA	NA	NA
Q9Y6Q9	NCOA3	tf	proteoscore	-0.944981	NA	NA	NA	NA
Q9BT67	NDFIP1	other	proteoscore	-1.64983	NA	NA	NA	NA
Q92597	NDRG1	other	proteoscore	2.28348	NA	NA	NA	NA
O95299	NDUFA10	other	proteoscore	0.307305	NA	NA	NA	NA
